339.90	0.00
340.13	70.00
340.37	70.00
340.60	69.00
340.83	70.00
341.06	72.00
341.29	72.00
341.52	74.00
341.75	73.00
341.98	73.00
342.21	74.00
342.44	76.00
342.67	76.00
342.91	77.00
343.14	77.00
343.37	77.00
343.60	77.00
343.83	77.00
344.06	76.00
344.29	76.00
344.52	76.00
344.75	77.00
344.98	77.00
345.21	78.00
345.44	78.00
345.68	79.00
345.91	79.00
346.14	86.00
346.37	91.00
346.60	94.00
346.83	91.00
347.06	93.00
347.29	93.00
347.52	95.00
347.75	93.00
347.98	93.00
348.21	91.00
348.44	92.00
348.67	91.00
348.90	94.00
349.14	96.00
349.37	98.00
349.60	96.00
349.83	97.00
350.06	98.00
350.29	98.00
350.52	100.00
350.75	99.00
350.98	98.00
351.21	98.00
351.44	98.00
351.67	96.00
351.90	99.00
352.13	97.00
352.36	98.00
352.59	99.00
352.82	98.00
353.05	101.00
353.29	103.00
353.52	101.00
353.75	103.00
353.98	103.00
354.21	105.00
354.44	103.00
354.67	104.00
354.90	103.00
355.13	102.00
355.36	106.00
355.59	105.00
355.82	113.00
356.05	106.00
356.28	101.00
356.51	99.00
356.74	102.00
356.97	100.00
357.20	99.00
357.43	97.00
357.66	98.00
357.89	96.00
358.12	98.00
358.35	103.00
358.58	106.00
358.81	107.00
359.04	107.00
359.27	107.00
359.50	108.00
359.73	110.00
359.96	109.00
360.19	108.00
360.42	105.00
360.65	104.00
360.88	106.00
361.11	107.00
361.34	109.00
361.57	108.00
361.80	109.00
362.03	116.00
362.26	113.00
362.49	113.00
362.72	111.00
362.95	118.00
363.18	116.00
363.41	116.00
363.64	118.00
363.87	116.00
364.10	119.00
364.33	114.00
364.56	118.00
364.79	125.00
365.02	122.00
365.25	127.00
365.48	125.00
365.71	132.00
365.94	128.00
366.17	127.00
366.40	127.00
366.63	132.00
366.86	133.00
367.09	135.00
367.32	130.00
367.55	123.00
367.78	126.00
368.01	125.00
368.24	126.00
368.47	136.00
368.70	136.00
368.93	134.00
369.16	134.00
369.39	136.00
369.62	134.00
369.85	133.00
370.08	135.00
370.31	132.00
370.54	137.00
370.77	139.00
371.00	139.00
371.23	142.00
371.46	134.00
371.69	137.00
371.92	141.00
372.15	141.00
372.38	134.00
372.61	130.00
372.84	126.00
373.07	127.00
373.30	136.00
373.53	141.00
373.76	136.00
373.98	136.00
374.21	132.00
374.44	130.00
374.67	134.00
374.90	148.00
375.13	146.00
375.36	142.00
375.59	146.00
375.82	153.00
376.05	147.00
376.28	154.00
376.51	157.00
376.74	160.00
376.97	168.00
377.20	177.00
377.43	180.00
377.66	181.00
377.89	181.00
378.12	171.00
378.34	170.00
378.57	171.00
378.80	166.00
379.03	164.00
379.26	157.00
379.49	168.00
379.72	171.00
379.95	176.00
380.18	175.00
380.41	179.00
380.64	178.00
380.87	172.00
381.10	174.00
381.33	164.00
381.55	159.00
381.78	158.00
382.01	150.00
382.24	154.00
382.47	145.00
382.70	140.00
382.93	148.00
383.16	147.00
383.39	145.00
383.62	158.00
383.85	177.00
384.08	185.00
384.30	182.00
384.53	179.00
384.76	191.00
384.99	186.00
385.22	178.00
385.45	174.00
385.68	186.00
385.91	189.00
