339.90	0.00
340.13	72.00
340.37	71.00
340.60	72.00
340.83	72.00
341.06	72.00
341.29	71.00
341.52	72.00
341.75	73.00
341.98	76.00
342.21	76.00
342.44	76.00
342.67	77.00
342.91	77.00
343.14	81.00
343.37	79.00
343.60	80.00
343.83	78.00
344.06	77.00
344.29	77.00
344.52	77.00
344.75	77.00
344.98	77.00
345.21	79.00
345.44	77.00
345.68	77.00
345.91	77.00
346.14	80.00
346.37	88.00
346.60	90.00
346.83	90.00
347.06	91.00
347.29	93.00
347.52	93.00
347.75	93.00
347.98	93.00
348.21	93.00
348.44	94.00
348.67	92.00
348.90	91.00
349.14	94.00
349.37	95.00
349.60	97.00
349.83	99.00
350.06	99.00
350.29	97.00
350.52	96.00
350.75	95.00
350.98	96.00
351.21	97.00
351.44	98.00
351.67	98.00
351.90	99.00
352.13	98.00
352.36	96.00
352.59	99.00
352.82	99.00
353.05	103.00
353.29	105.00
353.52	102.00
353.75	101.00
353.98	103.00
354.21	102.00
354.44	102.00
354.67	100.00
354.90	102.00
355.13	99.00
355.36	98.00
355.59	101.00
355.82	109.00
356.05	104.00
356.28	104.00
356.51	99.00
356.74	98.00
356.97	101.00
357.20	101.00
357.43	98.00
357.66	98.00
357.89	95.00
358.12	96.00
358.35	99.00
358.58	100.00
358.81	106.00
359.04	108.00
359.27	111.00
359.50	110.00
359.73	107.00
359.96	111.00
360.19	109.00
360.42	108.00
360.65	109.00
360.88	109.00
361.11	106.00
361.34	108.00
361.57	107.00
361.80	114.00
362.03	116.00
362.26	113.00
362.49	113.00
362.72	113.00
362.95	115.00
363.18	117.00
363.41	122.00
363.64	119.00
363.87	118.00
364.10	119.00
364.33	115.00
364.56	122.00
364.79	117.00
365.02	123.00
365.25	123.00
365.48	127.00
365.71	129.00
365.94	128.00
366.17	131.00
366.40	130.00
366.63	128.00
366.86	130.00
367.09	133.00
367.32	128.00
367.55	130.00
367.78	131.00
368.01	125.00
368.24	126.00
368.47	135.00
368.70	141.00
368.93	133.00
369.16	135.00
369.39	139.00
369.62	142.00
369.85	133.00
370.08	131.00
370.31	137.00
370.54	139.00
370.77	151.00
371.00	146.00
371.23	148.00
371.46	132.00
371.69	137.00
371.92	141.00
372.15	138.00
372.38	136.00
372.61	136.00
372.84	128.00
373.07	132.00
373.30	134.00
373.53	138.00
373.76	132.00
373.98	129.00
374.21	130.00
374.44	130.00
374.67	140.00
374.90	151.00
375.13	148.00
375.36	145.00
375.59	146.00
375.82	147.00
376.05	150.00
376.28	157.00
376.51	152.00
376.74	164.00
376.97	171.00
377.20	173.00
377.43	180.00
377.66	177.00
377.89	182.00
378.12	187.00
378.34	170.00
378.57	177.00
378.80	165.00
379.03	158.00
379.26	168.00
379.49	168.00
379.72	174.00
379.95	183.00
380.18	187.00
380.41	184.00
380.64	187.00
380.87	171.00
381.10	176.00
381.33	168.00
381.55	164.00
381.78	169.00
382.01	151.00
382.24	149.00
382.47	146.00
382.70	147.00
382.93	144.00
383.16	144.00
383.39	148.00
383.62	164.00
383.85	184.00
384.08	193.00
384.30	190.00
384.53	192.00
384.76	193.00
384.99	180.00
385.22	181.00
385.45	190.00
385.68	193.00
385.91	194.00
386.14	192.00
386.37	193.00
386.60	198.00
386.82	190.00
387.05	192.00
387.28	185.00
387.51	188.00
387.74	193.00
387.97	191.00
388.20	195.00
388.43	205.00
388.66	226.00
388.88	217.00
389.11	228.00
389.34	241.00
389.57	242.00
389.80	235.00
390.03	240.00
390.26	248.00
390.49	263.00
390.72	265.00
390.94	264.00
391.17	266.00
391.40	253.00
391.63	246.00
391.86	235.00
392.09	212.00
392.32	192.00
392.55	171.00
392.77	161.00
393.00	152.00
393.23	176.00
393.46	191.00
393.69	206.00
393.92	222.00
394.15	245.00
394.38	272.00
394.60	285.00
394.83	278.00
395.06	276.00
395.29	270.00
395.52	241.00
395.75	221.00
395.98	208.00
396.20	182.00
396.43	185.00
396.66	193.00
396.89	228.00
397.12	250.00
397.35	294.00
397.58	302.00
397.80	314.00
398.03	327.00
398.26	335.00
398.49	337.00
398.72	340.00
398.95	351.00
399.17	340.00
399.40	366.00
399.63	371.00
399.86	380.00
400.09	392.00
400.32	402.00
400.54	401.00
400.77	392.00
401.00	403.00
401.23	393.00
401.46	412.00
401.69	400.00
401.91	396.00
402.14	416.00
402.37	418.00
402.60	391.00
402.83	387.00
403.06	402.00
403.28	418.00
403.51	408.00
403.74	398.00
403.97	404.00
404.20	404.00
404.43	418.00
404.65	414.00
404.88	408.00
405.11	405.00
405.34	414.00
405.57	400.00
405.79	377.00
406.02	401.00
406.25	415.00
406.48	409.00
406.71	426.00
406.93	435.00
407.16	417.00
407.39	437.00
407.62	442.00
407.85	437.00
408.08	484.00
408.30	485.00
408.53	485.00
408.76	487.00
408.99	510.00
409.22	485.00
409.44	458.00
409.67	430.00
409.90	430.00
410.13	455.00
410.35	458.00
410.58	488.00
410.81	497.00
411.04	517.00
411.27	526.00
411.49	527.00
411.72	546.00
411.95	514.00
412.18	524.00
412.41	538.00
412.63	544.00
412.86	553.00
413.09	564.00
413.32	529.00
413.54	549.00
413.77	514.00
414.00	536.00
414.23	536.00
414.46	518.00
414.68	536.00
414.91	560.00
415.14	559.00
415.37	566.00
415.59	574.00
415.82	589.00
416.05	612.00
416.28	588.00
416.50	559.00
416.73	540.00
416.96	551.00
417.19	552.00
417.41	553.00
417.64	571.00
417.87	605.00
418.10	588.00
418.33	586.00
418.55	612.00
418.78	594.00
419.01	589.00
419.24	587.00
419.46	589.00
419.69	607.00
419.92	631.00
